date,season,month,holiday,weekday,workingday,weather,temp,atemp,hum,windspeed,casual_user,registered_user,total_user
2011-03-26,Summer,Mar,No,Sat,No,Clear,0.265833,0.257571,0.394167,0.209571,981,1515,2496
2011-03-27,Summer,Mar,No,Sun,No,Mist,0.253043,0.250339,0.493913,0.1843,472,1221,1693
2011-03-28,Summer,Mar,No,Mon,Yes,Clear,0.264348,0.257574,0.302174,0.212204,222,1806,2028
2011-03-29,Summer,Mar,No,Tue,Yes,Clear,0.3025,0.292908,0.314167,0.226996,317,2108,2425
2011-03-30,Summer,Mar,No,Wed,Yes,Mist,0.3,0.29735,0.646667,0.172888,168,1368,1536
2011-03-31,Summer,Mar,No,Thu,Yes,Light Rain/Snow,0.268333,0.257575,0.918333,0.217646,179,1506,1685
2011-04-01,Summer,Apr,No,Fri,Yes,Mist,0.3,0.283454,0.68625,0.258708,307,1920,2227
2011-04-02,Summer,Apr,No,Sat,No,Mist,0.315,0.315637,0.65375,0.197146,898,1354,2252
2011-04-03,Summer,Apr,No,Sun,No,Clear,0.378333,0.378767,0.48,0.182213,1651,1598,3249
2011-04-04,Summer,Apr,No,Mon,Yes,Clear,0.573333,0.542929,0.42625,0.385571,734,2381,3115
2011-04-05,Summer,Apr,No,Tue,Yes,Mist,0.414167,0.39835,0.642083,0.388067,167,1628,1795
2011-04-06,Summer,Apr,No,Wed,Yes,Clear,0.390833,0.387608,0.470833,0.263063,413,2395,2808
2011-04-07,Summer,Apr,No,Thu,Yes,Clear,0.4375,0.433696,0.602917,0.162312,571,2570,3141
2011-04-08,Summer,Apr,No,Fri,Yes,Mist,0.335833,0.324479,0.83625,0.226992,172,1299,1471
2011-04-09,Summer,Apr,No,Sat,No,Mist,0.3425,0.341529,0.8775,0.133083,879,1576,2455
2011-04-10,Summer,Apr,No,Sun,No,Mist,0.426667,0.426737,0.8575,0.146767,1188,1707,2895
2011-04-11,Summer,Apr,No,Mon,Yes,Mist,0.595652,0.565217,0.716956,0.324474,855,2493,3348
2011-04-12,Summer,Apr,No,Tue,Yes,Mist,0.5025,0.493054,0.739167,0.274879,257,1777,2034
2011-04-13,Summer,Apr,No,Wed,Yes,Mist,0.4125,0.417283,0.819167,0.250617,209,1953,2162
2011-04-14,Summer,Apr,No,Thu,Yes,Clear,0.4675,0.462742,0.540417,0.1107,529,2738,3267
2011-04-15,Summer,Apr,Yes,Fri,No,Clear,0.446667,0.441913,0.67125,0.226375,642,2484,3126
2011-04-16,Summer,Apr,No,Sat,No,Light Rain/Snow,0.430833,0.425492,0.888333,0.340808,121,674,795
2011-04-17,Summer,Apr,No,Sun,No,Clear,0.456667,0.445696,0.479583,0.303496,1558,2186,3744
2011-04-18,Summer,Apr,No,Mon,Yes,Clear,0.5125,0.503146,0.5425,0.163567,669,2760,3429
2011-04-19,Summer,Apr,No,Tue,Yes,Mist,0.505833,0.489258,0.665833,0.157971,409,2795,3204
2011-04-20,Summer,Apr,No,Wed,Yes,Clear,0.595,0.564392,0.614167,0.241925,613,3331,3944
2011-04-21,Summer,Apr,No,Thu,Yes,Clear,0.459167,0.453892,0.407083,0.325258,745,3444,4189
2011-04-22,Summer,Apr,No,Fri,Yes,Mist,0.336667,0.321954,0.729583,0.219521,177,1506,1683
2011-04-23,Summer,Apr,No,Sat,No,Mist,0.46,0.450121,0.887917,0.230725,1462,2574,4036
2011-04-24,Summer,Apr,No,Sun,No,Mist,0.581667,0.551763,0.810833,0.192175,1710,2481,4191
2011-04-25,Summer,Apr,No,Mon,Yes,Clear,0.606667,0.5745,0.776667,0.185333,773,3300,4073
2011-04-26,Summer,Apr,No,Tue,Yes,Clear,0.631667,0.594083,0.729167,0.3265,678,3722,4400
2011-04-27,Summer,Apr,No,Wed,Yes,Mist,0.62,0.575142,0.835417,0.3122,547,3325,3872
2011-04-28,Summer,Apr,No,Thu,Yes,Mist,0.6175,0.578929,0.700833,0.320908,569,3489,4058
2011-04-29,Summer,Apr,No,Fri,Yes,Clear,0.51,0.497463,0.457083,0.240063,878,3717,4595
2011-04-30,Summer,Apr,No,Sat,No,Clear,0.4725,0.464021,0.503333,0.235075,1965,3347,5312
2011-05-01,Summer,May,No,Sun,No,Mist,0.451667,0.448204,0.762083,0.106354,1138,2213,3351
2011-05-02,Summer,May,No,Mon,Yes,Mist,0.549167,0.532833,0.73,0.183454,847,3554,4401
2011-05-03,Summer,May,No,Tue,Yes,Mist,0.616667,0.582079,0.697083,0.342667,603,3848,4451
2011-05-04,Summer,May,No,Wed,Yes,Mist,0.414167,0.40465,0.737083,0.328996,255,2378,2633
2011-05-05,Summer,May,No,Thu,Yes,Clear,0.459167,0.441917,0.444167,0.295392,614,3819,4433
2011-05-06,Summer,May,No,Fri,Yes,Clear,0.479167,0.474117,0.59,0.228246,894,3714,4608
2011-05-07,Summer,May,No,Sat,No,Clear,0.52,0.512621,0.54125,0.16045,1612,3102,4714
2011-05-08,Summer,May,No,Sun,No,Clear,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333
2011-05-09,Summer,May,No,Mon,Yes,Clear,0.5325,0.525246,0.58875,0.176,664,3698,4362
2011-05-10,Summer,May,No,Tue,Yes,Clear,0.5325,0.522721,0.489167,0.115671,694,4109,4803
2011-05-11,Summer,May,No,Wed,Yes,Clear,0.5425,0.5284,0.632917,0.120642,550,3632,4182
2011-05-12,Summer,May,No,Thu,Yes,Clear,0.535,0.523363,0.7475,0.189667,695,4169,4864
2011-05-13,Summer,May,No,Fri,Yes,Mist,0.5125,0.4943,0.863333,0.179725,692,3413,4105
2011-05-14,Summer,May,No,Sat,No,Mist,0.520833,0.500629,0.9225,0.13495,902,2507,3409
2011-05-15,Summer,May,No,Sun,No,Mist,0.5625,0.536,0.867083,0.152979,1582,2971,4553
2011-05-16,Summer,May,No,Mon,Yes,Clear,0.5775,0.550512,0.787917,0.126871,773,3185,3958
2011-05-17,Summer,May,No,Tue,Yes,Mist,0.561667,0.538529,0.837917,0.277354,678,3445,4123
2011-05-18,Summer,May,No,Wed,Yes,Mist,0.55,0.527158,0.87,0.201492,536,3319,3855
2011-05-19,Summer,May,No,Thu,Yes,Mist,0.530833,0.510742,0.829583,0.108213,735,3840,4575
2011-05-20,Summer,May,No,Fri,Yes,Clear,0.536667,0.529042,0.719583,0.125013,909,4008,4917
2011-05-21,Summer,May,No,Sat,No,Clear,0.6025,0.571975,0.626667,0.12065,2258,3547,5805
2011-05-22,Summer,May,No,Sun,No,Clear,0.604167,0.5745,0.749583,0.148008,1576,3084,4660
2011-05-23,Summer,May,No,Mon,Yes,Mist,0.631667,0.590296,0.81,0.233842,836,3438,4274
2011-05-24,Summer,May,No,Tue,Yes,Mist,0.66,0.604813,0.740833,0.207092,659,3833,4492
2011-05-25,Summer,May,No,Wed,Yes,Clear,0.660833,0.615542,0.69625,0.154233,740,4238,4978
2011-05-26,Summer,May,No,Thu,Yes,Clear,0.708333,0.654688,0.6775,0.199642,758,3919,4677
2011-05-27,Summer,May,No,Fri,Yes,Clear,0.681667,0.637008,0.65375,0.240679,871,3808,4679
2011-05-28,Summer,May,No,Sat,No,Clear,0.655833,0.612379,0.729583,0.230092,2001,2757,4758
2011-05-29,Summer,May,No,Sun,No,Clear,0.6675,0.61555,0.81875,0.213938,2355,2433,4788
2011-05-30,Summer,May,Yes,Mon,No,Clear,0.733333,0.671092,0.685,0.131225,1549,2549,4098
2011-05-31,Summer,May,No,Tue,Yes,Clear,0.775,0.725383,0.636667,0.111329,673,3309,3982
2011-06-01,Summer,Jun,No,Wed,Yes,Mist,0.764167,0.720967,0.677083,0.207092,513,3461,3974
2011-06-02,Summer,Jun,No,Thu,Yes,Clear,0.715,0.643942,0.305,0.292287,736,4232,4968
2011-06-03,Summer,Jun,No,Fri,Yes,Clear,0.62,0.587133,0.354167,0.253121,898,4414,5312
2011-06-04,Summer,Jun,No,Sat,No,Clear,0.635,0.594696,0.45625,0.123142,1869,3473,5342
2011-06-05,Summer,Jun,No,Sun,No,Mist,0.648333,0.616804,0.6525,0.138692,1685,3221,4906
2011-06-06,Summer,Jun,No,Mon,Yes,Clear,0.678333,0.621858,0.6,0.121896,673,3875,4548
2011-06-07,Summer,Jun,No,Tue,Yes,Clear,0.7075,0.65595,0.597917,0.187808,763,4070,4833
2011-06-08,Summer,Jun,No,Wed,Yes,Clear,0.775833,0.727279,0.622083,0.136817,676,3725,4401
2011-06-09,Summer,Jun,No,Thu,Yes,Mist,0.808333,0.757579,0.568333,0.149883,563,3352,3915
2011-06-10,Summer,Jun,No,Fri,Yes,Clear,0.755,0.703292,0.605,0.140554,815,3771,4586
2011-06-11,Summer,Jun,No,Sat,No,Clear,0.725,0.678038,0.654583,0.15485,1729,3237,4966
2011-06-12,Summer,Jun,No,Sun,No,Clear,0.6925,0.643325,0.747917,0.163567,1467,2993,4460
2011-06-13,Summer,Jun,No,Mon,Yes,Clear,0.635,0.601654,0.494583,0.30535,863,4157,5020
2011-06-14,Summer,Jun,No,Tue,Yes,Clear,0.604167,0.591546,0.507083,0.269283,727,4164,4891
2011-06-15,Summer,Jun,No,Wed,Yes,Clear,0.626667,0.587754,0.471667,0.167912,769,4411,5180
2011-06-16,Summer,Jun,No,Thu,Yes,Mist,0.628333,0.595346,0.688333,0.206471,545,3222,3767
2011-06-17,Summer,Jun,No,Fri,Yes,Clear,0.649167,0.600383,0.735833,0.143029,863,3981,4844
2011-06-18,Summer,Jun,No,Sat,No,Clear,0.696667,0.643954,0.670417,0.119408,1807,3312,5119
2011-06-19,Summer,Jun,No,Sun,No,Mist,0.699167,0.645846,0.666667,0.102,1639,3105,4744
2011-06-20,Summer,Jun,No,Mon,Yes,Mist,0.635,0.595346,0.74625,0.155475,699,3311,4010
2011-06-21,Fall,Jun,No,Tue,Yes,Mist,0.680833,0.637646,0.770417,0.171025,774,4061,4835
2011-06-22,Fall,Jun,No,Wed,Yes,Clear,0.733333,0.693829,0.7075,0.172262,661,3846,4507
2011-06-23,Fall,Jun,No,Thu,Yes,Mist,0.728333,0.693833,0.703333,0.238804,746,4044,4790
2011-06-24,Fall,Jun,No,Fri,Yes,Clear,0.724167,0.656583,0.573333,0.222025,969,4022,4991
2011-06-25,Fall,Jun,No,Sat,No,Clear,0.695,0.643313,0.483333,0.209571,1782,3420,5202
2011-06-26,Fall,Jun,No,Sun,No,Clear,0.68,0.637629,0.513333,0.0945333,1920,3385,5305
2011-06-27,Fall,Jun,No,Mon,Yes,Mist,0.6825,0.637004,0.658333,0.107588,854,3854,4708
2011-06-28,Fall,Jun,No,Tue,Yes,Clear,0.744167,0.692558,0.634167,0.144283,732,3916,4648
2011-06-29,Fall,Jun,No,Wed,Yes,Clear,0.728333,0.654688,0.497917,0.261821,848,4377,5225
2011-06-30,Fall,Jun,No,Thu,Yes,Clear,0.696667,0.637008,0.434167,0.185312,1027,4488,5515
2011-07-01,Fall,Jul,No,Fri,Yes,Clear,0.7225,0.652162,0.39625,0.102608,1246,4116,5362
2011-07-02,Fall,Jul,No,Sat,No,Clear,0.738333,0.667308,0.444583,0.115062,2204,2915,5119
2011-07-03,Fall,Jul,No,Sun,No,Mist,0.716667,0.668575,0.6825,0.228858,2282,2367,4649
2011-07-04,Fall,Jul,Yes,Mon,No,Mist,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043
2011-07-05,Fall,Jul,No,Tue,Yes,Clear,0.746667,0.696338,0.590417,0.126258,1031,3634,4665
2011-07-06,Fall,Jul,No,Wed,Yes,Clear,0.72,0.685633,0.743333,0.149883,784,3845,4629
2011-07-07,Fall,Jul,No,Thu,Yes,Clear,0.75,0.686871,0.65125,0.1592,754,3838,4592
2011-07-08,Fall,Jul,No,Fri,Yes,Mist,0.709167,0.670483,0.757917,0.225129,692,3348,4040
2011-07-09,Fall,Jul,No,Sat,No,Clear,0.733333,0.664158,0.609167,0.167912,1988,3348,5336
2011-07-10,Fall,Jul,No,Sun,No,Clear,0.7475,0.690025,0.578333,0.183471,1743,3138,4881
2011-07-11,Fall,Jul,No,Mon,Yes,Clear,0.7625,0.729804,0.635833,0.282337,723,3363,4086
2011-07-12,Fall,Jul,No,Tue,Yes,Clear,0.794167,0.739275,0.559167,0.200254,662,3596,4258
2011-07-13,Fall,Jul,No,Wed,Yes,Clear,0.746667,0.689404,0.631667,0.146133,748,3594,4342
2011-07-14,Fall,Jul,No,Thu,Yes,Clear,0.680833,0.635104,0.47625,0.240667,888,4196,5084
2011-07-15,Fall,Jul,No,Fri,Yes,Clear,0.663333,0.624371,0.59125,0.182833,1318,4220,5538
2011-07-16,Fall,Jul,No,Sat,No,Clear,0.686667,0.638263,0.585,0.208342,2418,3505,5923
2011-07-17,Fall,Jul,No,Sun,No,Clear,0.719167,0.669833,0.604167,0.245033,2006,3296,5302
2011-07-18,Fall,Jul,No,Mon,Yes,Clear,0.746667,0.703925,0.65125,0.215804,841,3617,4458
2011-07-19,Fall,Jul,No,Tue,Yes,Clear,0.776667,0.747479,0.650417,0.1306,752,3789,4541
2011-07-20,Fall,Jul,No,Wed,Yes,Clear,0.768333,0.74685,0.707083,0.113817,644,3688,4332
2011-07-21,Fall,Jul,No,Thu,Yes,Mist,0.815,0.826371,0.69125,0.222021,632,3152,3784
2011-07-22,Fall,Jul,No,Fri,Yes,Clear,0.848333,0.840896,0.580417,0.1331,562,2825,3387
2011-07-23,Fall,Jul,No,Sat,No,Clear,0.849167,0.804287,0.5,0.131221,987,2298,3285
2011-07-24,Fall,Jul,No,Sun,No,Clear,0.83,0.794829,0.550833,0.169171,1050,2556,3606
2011-07-25,Fall,Jul,No,Mon,Yes,Clear,0.743333,0.720958,0.757083,0.0908083,568,3272,3840
2011-07-26,Fall,Jul,No,Tue,Yes,Clear,0.771667,0.696979,0.540833,0.200258,750,3840,4590
2011-07-27,Fall,Jul,No,Wed,Yes,Clear,0.775,0.690667,0.402917,0.183463,755,3901,4656
2011-07-28,Fall,Jul,No,Thu,Yes,Clear,0.779167,0.7399,0.583333,0.178479,606,3784,4390
2011-07-29,Fall,Jul,No,Fri,Yes,Clear,0.838333,0.785967,0.5425,0.174138,670,3176,3846
2011-07-30,Fall,Jul,No,Sat,No,Clear,0.804167,0.728537,0.465833,0.168537,1559,2916,4475
2011-07-31,Fall,Jul,No,Sun,No,Clear,0.805833,0.729796,0.480833,0.164813,1524,2778,4302
2011-08-01,Fall,Aug,No,Mon,Yes,Clear,0.771667,0.703292,0.550833,0.156717,729,3537,4266
2011-08-02,Fall,Aug,No,Tue,Yes,Clear,0.783333,0.707071,0.49125,0.20585,801,4044,4845
2011-08-03,Fall,Aug,No,Wed,Yes,Mist,0.731667,0.679937,0.6575,0.135583,467,3107,3574
2011-08-04,Fall,Aug,No,Thu,Yes,Mist,0.71,0.664788,0.7575,0.19715,799,3777,4576
2011-08-05,Fall,Aug,No,Fri,Yes,Clear,0.710833,0.656567,0.630833,0.184696,1023,3843,4866
2011-08-06,Fall,Aug,No,Sat,No,Mist,0.716667,0.676154,0.755,0.22825,1521,2773,4294
2011-08-07,Fall,Aug,No,Sun,No,Clear,0.7425,0.715292,0.752917,0.201487,1298,2487,3785
2011-08-08,Fall,Aug,No,Mon,Yes,Clear,0.765,0.703283,0.592083,0.192175,846,3480,4326
2011-08-09,Fall,Aug,No,Tue,Yes,Clear,0.775,0.724121,0.570417,0.151121,907,3695,4602
2011-08-10,Fall,Aug,No,Wed,Yes,Clear,0.766667,0.684983,0.424167,0.200258,884,3896,4780
2011-08-11,Fall,Aug,No,Thu,Yes,Clear,0.7175,0.651521,0.42375,0.164796,812,3980,4792
2011-08-12,Fall,Aug,No,Fri,Yes,Clear,0.708333,0.654042,0.415,0.125621,1051,3854,4905
2011-08-13,Fall,Aug,No,Sat,No,Mist,0.685833,0.645858,0.729583,0.211454,1504,2646,4150
2011-08-14,Fall,Aug,No,Sun,No,Mist,0.676667,0.624388,0.8175,0.222633,1338,2482,3820
2011-08-15,Fall,Aug,No,Mon,Yes,Clear,0.665833,0.616167,0.712083,0.208954,775,3563,4338
2011-08-16,Fall,Aug,No,Tue,Yes,Clear,0.700833,0.645837,0.578333,0.236329,721,4004,4725
2011-08-17,Fall,Aug,No,Wed,Yes,Clear,0.723333,0.666671,0.575417,0.143667,668,4026,4694
2011-08-18,Fall,Aug,No,Thu,Yes,Clear,0.711667,0.662258,0.654583,0.233208,639,3166,3805
2011-08-19,Fall,Aug,No,Fri,Yes,Mist,0.685,0.633221,0.722917,0.139308,797,3356,4153
2011-08-20,Fall,Aug,No,Sat,No,Clear,0.6975,0.648996,0.674167,0.104467,1914,3277,5191
2011-08-21,Fall,Aug,No,Sun,No,Clear,0.710833,0.675525,0.77,0.248754,1249,2624,3873
2011-08-22,Fall,Aug,No,Mon,Yes,Clear,0.691667,0.638254,0.47,0.27675,833,3925,4758
2011-08-23,Fall,Aug,No,Tue,Yes,Clear,0.640833,0.606067,0.455417,0.146763,1281,4614,5895
2011-08-24,Fall,Aug,No,Wed,Yes,Clear,0.673333,0.630692,0.605,0.253108,949,4181,5130
2011-08-25,Fall,Aug,No,Thu,Yes,Mist,0.684167,0.645854,0.771667,0.210833,435,3107,3542
2011-08-26,Fall,Aug,No,Fri,Yes,Clear,0.7,0.659733,0.76125,0.0839625,768,3893,4661
2011-08-27,Fall,Aug,No,Sat,No,Mist,0.68,0.635556,0.85,0.375617,226,889,1115
2011-08-28,Fall,Aug,No,Sun,No,Clear,0.707059,0.647959,0.561765,0.304659,1415,2919,4334
2011-08-29,Fall,Aug,No,Mon,Yes,Clear,0.636667,0.607958,0.554583,0.159825,729,3905,4634
2011-08-30,Fall,Aug,No,Tue,Yes,Clear,0.639167,0.594704,0.548333,0.125008,775,4429,5204
2011-08-31,Fall,Aug,No,Wed,Yes,Clear,0.656667,0.611121,0.597917,0.0833333,688,4370,5058
2011-09-01,Fall,Sep,No,Thu,Yes,Clear,0.655,0.614921,0.639167,0.141796,783,4332,5115
2011-09-02,Fall,Sep,No,Fri,Yes,Mist,0.643333,0.604808,0.727083,0.139929,875,3852,4727
2011-09-03,Fall,Sep,No,Sat,No,Clear,0.669167,0.633213,0.716667,0.185325,1935,2549,4484
2011-09-04,Fall,Sep,No,Sun,No,Clear,0.709167,0.665429,0.742083,0.206467,2521,2419,4940
